n;k-3 - minComparisons;k-3 - maxComparisons;k-3 - averageCnomparisons;k-3 - standCnomparisons;k-3 - minSets;k-3 - maxSets;k-3 - avgSets;k-3 - stdSets;k-3 - time;k-5 - minComparisons;k-5 - maxComparisons;k-5 - averageCnomparisons;k-5 - standCnomparisons;k-5 - minSets;k-5 - maxSets;k-5 - avgSets;k-5 - stdSets;k-5 - time;k-7 - minComparisons;k-7 - maxComparisons;k-7 - averageCnomparisons;k-7 - standCnomparisons;k-7 - minSets;k-7 - maxSets;k-7 - avgSets;k-7 - stdSets;k-7 - time;k-17 - minComparisons;k-17 - maxComparisons;k-17 - averageCnomparisons;k-17 - standCnomparisons;k-17 - minSets;k-17 - maxSets;k-17 - avgSets;k-17 - stdSets;k-17 - time;k-9 - minComparisons;k-9 - maxComparisons;k-9 - averageCnomparisons;k-9 - standCnomparisons;k-9 - minSets;k-9 - maxSets;k-9 - avgSets;k-9 - stdSets;k-9 - time;k-25 - minComparisons;k-25 - maxComparisons;k-25 - averageCnomparisons;k-25 - standCnomparisons;k-25 - minSets;k-25 - maxSets;k-25 - avgSets;k-25 - stdSets;k-25 - time
2400;8130;17838;15585;946;3344;7663;6400;639;3852;9103;12989;11588;569;4664;6688;5866;374;2136;9565;11718;10616;496;6844;8336;7233;660;2061;8809;10481;9619;463;16747;19897;18354;637;2073;9443;11237;10003;658;8757;10538;9437;558;2086;8551;10361;9110;732;24419;29623;27552;703;2088
2500;0;18542;16231;1114;0;7955;6746;625;3985;0;13402;11983;881;0;7007;5947;613;2167;0;12378;10934;808;0;8753;7830;557;2084;0;10988;9970;699;0;21102;19117;1097;2156;0;11657;10603;711;0;10984;9903;681;2080;0;10786;9912;592;0;31102;28705;0;2149
2600;8698;19194;16944;912;3660;8409;6960;631;4116;6550;13882;12658;639;3336;7166;6022;735;2348;9271;12782;11541;541;6612;9156;7988;605;2128;9499;11323;10266;648;17802;21536;19957;645;2172;5807;12081;10962;612;5478;11420;10139;686;2151;5373;11175;10026;735;15231;32586;29965;1000;2200
2700;14180;20259;17643;875;5883;8689;7207;663;4231;10806;14652;13032;699;5408;7565;6486;539;2486;9659;13350;11947;606;6856;9511;8298;628;2184;8246;11798;10945;428;15850;22596;20764;669;2215;9143;12570;11480;549;8511;11852;10796;472;2146;10569;11755;10786;376;30153;33555;31184;720;2323
2800;10030;20532;18409;921;4219;8963;7649;579;4473;7154;15083;13675;645;3662;7803;6884;438;2711;10070;13802;12480;576;7101;9855;8862;435;2359;8748;12318;11050;710;16597;23510;21552;656;2415;11010;13054;11944;548;10347;12303;11040;636;2249;5787;11991;10988;591;16507;34648;32306;907;2597
2900;15551;21313;19091;873;6424;9293;7885;602;4407;10996;15634;14095;688;5619;8094;6971;589;2752;11364;14261;12942;583;8060;10205;8980;612;2347;8952;12671;11798;414;16928;23997;22317;706;2407;6625;13607;12326;657;6175;12810;11617;543;2272;9007;12417;11345;626;25862;35576;33436;840;2594
3000;15623;21982;19789;917;6557;9725;8103;673;4932;7684;16111;14694;672;3825;8469;7100;717;3130;10665;14712;13407;612;7492;10540;9323;620;2744;11614;13064;11998;601;21874;24923;23113;661;2850;10182;14066;12920;531;9429;13143;11962;593;2685;6215;12870;11964;507;17908;36691;34657;1111;3012
3100;0;22484;20469;1443;0;9892;8447;779;4969;0;16840;15083;1107;0;8737;7585;653;3023;0;15249;13885;974;0;10951;9844;706;2808;0;13590;12436;893;0;25573;23860;0;2869;0;14546;13187;999;0;13717;12329;928;2761;0;13248;12022;1002;0;37970;35787;523;3016
3200;10211;23764;21176;1006;4201;10304;8774;617;4174;12376;17442;15738;641;6151;8968;7908;461;2466;13185;15558;14326;629;9289;11164;9975;633;2324;6744;13985;12954;564;12842;26463;24751;864;2372;10630;15058;13867;497;9924;14197;12896;512;2255;12357;13657;12865;354;35290;39231;37047;767;2486
3300;17633;24400;21822;1005;7265;10457;8971;681;2734;14622;17688;16164;678;7451;9215;7982;623;1345;11897;16121;14886;569;8604;11498;10353;603;1269;12094;14392;13194;664;22731;27257;25563;668;1317;12947;15447;14095;678;12069;14416;13103;676;1247;10363;14155;12987;635;30006;40375;38200;909;1327
3400;19060;24923;22590;950;7933;10762;9296;659;2602;14371;18203;16736;661;7322;9372;8175;689;1340;12100;16605;15229;674;8609;11845;10838;482;1272;13166;14909;13888;406;24814;28114;26361;663;1254;6870;15885;14773;613;6458;14921;13755;607;1217;10556;14532;13515;537;30620;41901;39420;876;1271
3500;19251;25700;23299;985;7994;11200;9687;592;2779;15537;18757;17157;711;7788;9764;8663;471;1443;14382;17018;15843;551;10275;12213;10982;637;1259;12788;15300;14033;670;24121;28791;27138;679;1330;11864;16462;14974;691;11151;15306;13977;670;1257;7245;14915;13972;534;20788;42869;40614;1063;1347
3600;19878;26482;24013;972;8207;11411;9888;646;2932;15707;19306;17765;660;8033;9939;8911;490;1546;12517;17502;16147;698;8944;12681;11379;590;1328;13362;15734;14714;428;25072;29974;27925;683;1354;8229;16725;15606;585;7844;15809;14495;616;1348;7473;15431;14164;722;21235;44255;41842;1039;1488
3700;0;27642;24684;0;0;12050;10129;850;3166;0;19866;18179;1119;0;10251;8970;801;1709;0;18138;16757;941;0;12915;11821;723;1437;0;16256;14948;899;0;30654;28688;0;1462;0;17171;15924;988;0;16273;14900;926;1384;0;15773;14868;784;0;45404;42953;427;1702
3800;20628;28214;25468;1015;8550;12108;10518;637;3342;13627;20406;18759;707;6867;10544;9264;650;1827;13446;18439;17072;701;9593;13241;11987;649;1540;13652;16484;15410;574;25898;31453;29587;689;1615;8641;17663;16424;670;8121;16597;15274;702;1519;11810;16207;15015;674;33682;46734;44215;909;1829
3900;19610;28534;26135;1069;7967;12341;10801;647;3273;15182;20929;19242;735;7745;10698;9733;472;1935;13418;19003;17736;589;9645;13569;12377;614;1676;15286;17025;15938;474;28835;32316;30360;695;1789;15039;18180;16909;580;14036;17038;15830;534;1619;8131;16577;15673;500;23343;47665;45391;1076;1929
4000;0;29407;26829;1429;0;12614;11025;803;3374;0;21346;19786;955;0;11094;9921;622;1990;0;19469;17993;903;0;13842;12823;637;1664;0;17370;16142;847;0;33137;31162;1217;1767;0;18581;17248;880;0;17454;16065;874;1589;0;17022;15963;759;0;49213;46490;0;1981
4100;14043;30418;27568;1227;5691;12892;11355;729;3363;10627;21946;20267;850;5446;11266;10007;711;2079;14310;19835;18626;586;10127;14266;12974;656;1789;8690;17821;16844;498;16541;33808;31983;863;1900;8266;19064;17839;630;7730;18065;16649;626;1771;12679;17482;16289;644;36530;50178;47759;903;2068
4200;22946;30933;28277;1100;9520;13322;11676;668;3499;16446;22489;20835;733;8395;11565;10353;620;2142;17051;20430;18983;652;12121;14684;13348;614;1901;13076;18268;17006;673;24805;35027;32778;775;2040;16576;19570;18131;676;15543;18321;16982;633;1850;16209;17892;16937;396;46577;51480;48945;804;2097
4300;23791;31403;29009;1121;9731;13503;11956;699;3524;16816;23137;21342;756;8575;11868;10786;487;2126;14903;20877;19546;612;10618;15004;13829;506;1987;13743;18654;17595;509;26335;35614;33598;725;2147;9679;19919;18748;613;9058;18864;17445;662;1948;15649;18421;17050;691;44740;52534;50183;846;2111
4400;22689;32375;29640;1143;9282;14055;12185;727;3748;11198;23480;21852;863;5631;12037;10920;630;2181;18015;21309;19956;652;12747;15287;13994;653;2111;14004;19375;17962;575;26611;36777;34380;776;2156;9969;20369;19007;743;9536;19255;17865;655;2052;13758;18809;17736;453;39202;53997;51387;918;2207
4500;25957;33435;30509;994;10738;14384;12602;636;3776;17486;23929;22375;736;8860;12343;11065;689;2214;15988;21861;20432;660;11322;15912;14356;633;2079;9619;19615;18296;694;18198;37034;35180;901;2149;17554;21010;19651;551;16514;19643;18227;663;2142;14080;19075;17995;594;40502;55182;52577;946;2181
4600;25331;34179;31169;1126;10589;14633;12857;693;3740;16828;24662;22889;777;8525;12723;11452;588;2275;10842;22406;20900;733;7695;16049;14828;572;2095;14582;19993;18878;544;27393;38083;35985;824;2109;18246;21575;19965;662;17053;20153;18775;564;2094;16629;19604;18388;595;47213;56212;53761;871;2166
4700;0;34846;31780;0;0;14686;13073;872;3870;0;25204;23429;1061;0;13057;11813;638;2256;0;22829;21324;952;0;16378;14984;803;2149;0;20513;19128;960;0;38845;36739;0;2208;0;21822;20466;893;0;20732;19047;907;2138;0;20018;18926;781;0;57543;54900;0;2273
4800;16807;36239;32529;1290;6934;15646;13412;746;4020;12581;25771;23910;859;6423;13183;11937;647;2313;20008;23433;21845;647;14208;16646;15370;617;2142;18944;20822;19799;467;35445;39583;37611;709;2176;19779;22220;20904;623;18510;20795;19596;567;2135;9990;20643;19123;737;28287;59338;56116;1277;2331
4900;0;36023;33228;0;0;15513;13726;838;4247;0;26480;24434;1104;0;13559;12105;802;2371;0;23782;22297;1007;0;17010;15817;753;2259;0;21364;20013;910;0;40717;38397;1431;2276;0;22809;21301;1034;0;21364;19912;994;2183;0;21166;19787;777;0;60707;57288;0;2329
5000;17732;37129;33944;1314;7335;15742;13968;764;4230;13199;26963;25034;834;6617;13912;12573;580;2408;20413;24294;22837;637;14438;17404;16013;658;2258;19866;21709;20636;491;37858;41107;39247;721;2253;16739;23279;21853;622;15491;21890;20402;643;2241;18056;21458;20037;646;51389;61311;58588;987;2362
5100;18029;37727;34660;1321;7342;16033;14253;773;4342;22801;27330;25587;735;11533;13988;12872;521;2424;21093;24745;23254;688;15016;17689;16415;600;2273;18873;22142;20949;584;35497;41924;40029;766;2388;17151;23640;22182;744;16143;22202;20831;660;2241;15807;21767;20581;576;45033;62712;59771;1142;2426
5200;18452;38554;35378;1379;7404;16494;14590;770;4528;22482;27923;26051;783;11262;14397;12972;656;2513;21576;25203;23800;648;15211;18057;16823;550;2341;19194;22688;21358;615;36387;42974;40873;761;2366;21541;24200;22797;572;20196;22635;21175;681;2366;20149;22155;20989;565;57684;63503;61045;902;2529
5300;0;39154;36032;0;0;16745;14860;908;4588;0;28742;26525;1221;0;15023;13187;824;2521;0;25729;24126;1158;0;18473;16987;924;2354;0;23081;21856;886;0;43754;41578;0;2440;0;24763;23077;1029;0;23127;21702;924;2339;0;22495;21313;986;0;64896;62087;1203;2540
5400;28857;40392;36868;1281;11671;17090;15160;766;4540;23379;29010;27088;775;11912;14981;13650;534;2591;12783;26246;24706;941;9031;18760;17393;776;2333;11569;23519;22127;757;21852;44813;42409;1028;2403;22269;24956;23719;567;20843;23462;22042;670;2330;16734;23073;21899;530;48250;66418;63281;1171;2497
5500;31125;40597;37577;1235;12833;17357;15491;728;4694;14327;29441;27610;906;7257;15011;13876;607;2725;19509;26743;25136;759;13915;19056;17815;577;2381;20328;23820;22784;487;38333;45118;43277;775;2510;18679;25575;24041;714;17466;23927;22572;629;2398;17261;23510;22093;697;50178;67396;64586;1021;2683
5600;18173;41391;38220;0;7304;17450;15740;855;4691;23676;29833;28128;827;11869;15351;14001;689;2829;23013;27304;25716;676;16493;19485;18024;673;2494;11933;24299;22993;833;22785;46270;44007;1261;2561;11355;26093;24570;927;10678;24546;22896;926;2423;21869;23827;22758;441;63211;68532;65783;900;2805
5700;30556;42121;39002;1289;12537;17805;16028;766;4870;22025;30642;28660;812;11168;15535;14308;652;2898;23507;27769;26127;736;16580;19827;18425;626;2512;22713;24860;23585;519;43018;47144;44925;746;2694;23455;26415;24974;663;21672;24866;23311;671;2482;22183;24197;23001;600;64217;69657;66975;885;2848
5800;0;42951;39676;0;0;18054;16304;941;5003;0;31402;29105;1280;0;16102;14675;743;2954;0;28135;26593;1170;0;20049;18759;890;2627;0;25201;23899;1027;0;47936;45585;0;2753;0;26918;25436;1072;0;25172;23764;1017;2607;0;24727;23414;952;0;70805;67988;1177;2949
5900;30935;43531;40394;1445;12827;18444;16622;798;4955;22840;31422;29663;882;11546;16028;14880;628;3098;24278;28791;27079;702;17169;20542;19026;667;2700;21952;25568;24278;631;42009;48799;46459;781;2854;23314;27544;25931;662;21720;25791;24184;681;2652;23037;25147;23923;513;66503;72403;69315;967;3028
6000;0;44512;41138;0;0;18710;16916;922;5170;0;32306;30153;1309;0;16658;15046;857;3139;0;29153;27557;1137;0;20836;19413;893;2772;0;26024;24830;954;0;49297;47177;0;2948;0;28072;26378;1091;0;26136;24659;1025;2755;0;25491;24146;1089;0;73653;70421;0;3152
6100;32788;45645;41876;1412;13347;19504;17215;813;5527;23620;32755;30732;851;11890;16841;15376;647;3280;25423;29712;28020;737;18021;21277;19817;596;2985;21934;26495;25093;670;41265;49906;48038;806;3131;24154;28538;26868;655;22740;26649;25024;699;3023;22202;25934;24813;468;64211;74535;71708;979;3298
6200;32248;46002;42613;1338;13145;19475;17543;753;5284;24507;33592;31258;843;12437;17189;15771;555;3223;21607;30257;28530;777;15257;21519;20026;717;2909;19601;26893;25719;528;37223;51046;48837;857;3064;21008;28961;27292;695;19671;27114;25530;648;2930;19308;26309;25022;669;55792;75585;72892;1134;3288
6300;32959;47027;43272;0;13617;19842;17799;822;5345;24726;33699;31756;882;12613;17206;15921;646;3341;26757;30773;28976;729;18939;21846;20447;623;2990;25343;27341;25980;621;47663;51838;49640;790;3136;25978;29255;27811;613;24236;27503;25922;641;3031;13174;26715;25573;685;37841;77107;74038;0;3260
6400;35956;47413;44022;0;14758;19916;18074;837;5658;28738;34262;32256;890;14649;17693;16131;690;3397;22878;31015;29496;759;16277;22135;20825;626;3121;13536;27704;26478;711;25600;52717;50461;1147;3340;21778;29855;28205;729;20499;28085;26373;694;3150;20103;27069;25944;582;58587;77924;75210;1100;3385
6500;35143;48147;44762;1423;14636;20207;18406;791;5596;17120;34830;32775;1023;8681;17994;16498;662;3341;27059;31575;29904;756;19029;22604;21033;701;3132;23788;28244;26921;562;44965;53783;51284;820;3237;25947;29990;28702;635;24120;28219;26764;657;3155;23414;27580;26301;627;67685;79615;76424;1034;3341
6600;24009;48629;45389;0;9889;20528;18679;847;5525;29099;35424;33326;861;14705;18231;16813;564;3281;15600;32239;30364;1021;11079;23127;21427;809;3115;26050;28629;27208;663;49034;54881;52071;810;3289;22355;30631;29054;747;21046;28733;27118;734;3210;25594;28070;26849;492;73599;80713;77627;984;3344
6700;36511;49291;46215;1291;14970;21062;18983;769;5778;30359;35663;33824;821;15360;18200;16945;648;3391;27834;32544;30870;735;19736;23210;21825;608;3256;25036;29375;27806;531;47032;55732;52901;856;3334;27942;31018;29625;627;26106;29283;27646;634;3271;26087;28395;27072;659;74755;81585;78844;979;3417
6800;28840;50296;46852;0;11507;21406;19255;884;6034;30346;36341;34325;934;15330;18609;17179;704;3594;16131;33025;31320;907;11557;23507;22059;777;3333;26722;29434;28058;662;50555;55868;53703;818;3439;28101;31456;29989;704;25917;29572;28014;697;3323;14085;28849;27647;703;41152;83186;79973;0;3546
6900;39781;51093;47646;1431;16380;21502;19582;801;6010;31033;36914;34823;925;15808;18926;17530;631;3564;29127;33576;31848;703;20808;23898;22473;625;3288;25608;29919;28628;548;48679;56888;54504;867;3376;28513;32105;30519;651;26407;29959;28493;665;3311;24866;29175;27971;622;70995;84174;81291;1137;3575
7000;36669;52542;48311;0;14823;22217;19850;827;6364;31658;37279;35385;879;15991;19193;17823;594;3741;29340;34218;32214;797;20749;24544;22793;639;3516;14869;30244;28951;768;28139;57687;55249;1227;3570;15847;32740;30885;861;14602;30748;28854;850;3509;21785;29711;28407;636;62521;85414;82416;1243;3750
7100;26244;52729;48981;0;10815;22353;20119;918;13920;30824;37755;35869;918;15794;19345;17982;680;8765;30377;34459;32785;722;21609;24576;23049;702;8084;28161;30840;29411;602;53868;58968;56102;825;8348;24259;32961;31355;744;22873;31007;29266;746;8022;25283;30313;28886;549;72349;86808;83647;1102;8706
7200;0;53394;49773;729;0;22898;20442;1062;23825;0;38324;36349;0;0;19714;18204;908;14915;0;35030;33182;1326;0;25270;23454;1000;13733;0;31320;29844;1102;0;59269;56807;0;14169;0;33186;31795;1221;0;31190;29723;1163;13819;0;30575;29132;1232;0;88054;84762;1222;14853
7300;26413;54191;50458;0;10755;22753;20718;895;23506;32189;39283;36918;937;16533;19956;18634;600;14844;30182;35411;33680;790;21327;25402;23812;663;13662;26936;31593;30192;666;50980;60225;57704;867;14140;27313;33848;32240;717;25407;31948;30128;717;13574;28255;30958;29772;489;80319;89574;86081;1055;14790
7400;40867;54817;51234;0;16584;23041;21023;859;12645;19471;39640;37440;1077;9944;20475;18854;694;7837;31645;35902;34165;773;22509;25529;24074;716;7235;29654;32202;30775;528;55603;61112;58532;853;7490;30567;34333;32756;682;28313;32257;30608;678;7174;28509;31315;30031;628;81464;90455;87307;1048;7755
7500;42149;55336;51900;0;17179;23250;21305;852;14463;33036;40052;37937;1007;16699;20614;19017;737;8809;26091;36317;34669;775;18439;26101;24498;669;8207;27687;32492;31037;667;52038;61884;59361;862;8465;16996;34686;33117;935;15907;32579;30973;898;8224;23457;31884;30492;623;68158;91839;88400;1298;8896
7600;40533;55972;52726;0;16684;23468;21605;844;18811;33819;40612;38505;936;17177;20758;19342;670;11754;26798;36748;35082;847;19079;26305;24819;691;10834;30625;33051;31537;571;57871;62563;60121;817;11217;26064;35134;33638;733;24678;33140;31416;740;10916;27753;32183;30933;564;80043;93007;89647;1089;11791
7700;44426;57136;53410;0;18228;24210;21883;872;11067;34776;41056;38986;957;17717;21019;19668;615;6616;32739;37496;35582;767;23096;26812;25084;716;6225;24497;33213;31939;662;46375;63291;60939;995;6317;30645;35610;34057;717;28641;33565;31884;681;6122;23957;32642;31254;725;68739;93778;90767;0;6593
7800;44431;58013;54148;0;18164;24420;22189;908;19381;35481;41883;39540;975;17893;21353;19870;677;12000;18581;37922;36047;979;13235;27034;25530;763;11103;30835;33927;32336;630;58220;64852;61738;879;11472;30832;36069;34559;673;29079;33965;32256;703;11083;31114;33033;31831;497;89708;95480;91987;1043;11955
7900;45297;58331;54852;0;18524;24512;22494;853;24701;31126;42288;40033;981;15727;21626;20062;734;15511;33739;38205;36542;751;23970;27299;25842;649;14445;29193;34215;32848;575;55139;65050;62585;888;14772;33085;36543;34913;722;31027;34432;32675;702;14303;16377;33411;32051;829;47610;96252;93162;0;15556
8000;43440;59233;55543;0;17856;24755;22782;907;26095;30889;42521;40574;1006;15538;21763;20371;702;16257;33024;38686;36976;811;23519;27568;26098;725;15338;24644;34921;33137;739;47072;65869;63348;1033;15587;32663;37012;35416;711;30659;34844;33073;730;15108;28445;33955;32614;569;82055;97931;94383;1221;16411
8100;46406;60243;56357;0;19063;25446;23090;886;24590;31339;43083;41065;1005;15859;22003;20688;645;15374;28970;39123;37454;819;20593;28115;26474;699;14163;29905;34925;33691;568;57090;66375;64131;909;14678;27474;37422;35850;747;25547;35688;33529;743;14118;31725;34203;32957;587;90336;99065;95573;1093;15390
8200;47340;60574;57062;0;19392;25330;23412;850;23483;37069;43768;41606;969;18625;22461;20909;674;14855;28945;39649;37881;896;20543;28445;26794;740;13727;25952;35556;34012;706;49354;67476;64969;1023;14266;32515;37836;36316;744;30659;35612;33939;755;13755;25446;34691;33374;660;74220;99839;96815;1319;14975
8300;46022;61797;57723;0;18658;26073;23679;919;19919;37932;44451;42142;936;19270;22578;21126;704;12509;33114;40188;38415;820;23617;28775;27094;741;11538;30755;35887;34477;632;58211;68482;65742;962;11909;18741;38369;36756;916;17576;36242;34378;887;11435;17183;35172;33882;772;50140;101716;98028;0;12353
8400;45528;62545;58407;0;18643;26378;23935;920;10185;37972;44995;42619;1014;19165;23028;21425;688;6417;32815;40628;38830;862;23121;29105;27459;723;5746;31048;36519;34904;656;58747;69305;66569;1001;5884;28747;38811;37187;797;26892;36375;34816;766;5685;29877;35564;34159;672;86100;102507;99222;1194;6226
8500;0;62819;59112;1339;0;26227;24223;1166;25123;0;45223;43084;0;0;23132;21707;967;15786;0;41089;39295;0;0;29421;27810;1143;14716;0;36912;35235;1462;0;70568;67295;0;15159;0;39108;37662;1385;0;37033;35186;1337;14592;0;35972;34688;1224;0;103717;100336;0;16058
8600;46582;63482;59855;0;19202;26699;24536;946;24259;39152;45744;43690;1019;19690;23347;21922;723;15419;35575;41924;39842;811;25534;29817;28112;725;14205;34518;37274;35823;570;65608;71175;68227;898;14872;19387;39841;38061;951;18060;37360;35674;886;14180;26701;36384;34992;699;76909;105493;101614;1413;15342
